Rank,Citizenship,Number of Countries without Visa
1,Finland,173
1,Sweden,173
1,United Kingdom (Great Britain),173
2,Denmark,172
2,Germany,172
2,Luxembourg,172
2,U.S.A.,172
3,Belgium,171
3,Italy,171
3,Netherlands,171
4,Canada,170
4,France,170
4,Ireland,170
4,Japan,170
4,Norway,170
4,Portugal,170
4,Spain,170
5,Austria,168
5,New Zealand,168
5,Switzerland,168
6,Australia,167
6,Greece,167
6,Singapore,167
7,"Korea (Rep., South)",166
8,Iceland,165
9,Malaysia,163
9,Malta,163
10,Liechtenstein,159
11,Hungary,157
12,Czech Republic,155
12,Slovakia,155
12,Slovenia,155
13,Poland,153
14,Estonia,152
14,Hong Kong (SAR China),152
14,Latvia,152
15,Cyprus,151
15,Lithuania,151
16,San Marino,149
17,Monaco,148
18,Andorra,147
18,Argentina,147
19,Brazil,146
19,Brunei Darussalam,146
20,Israel,144
21,Romania,141
21,Bulgaria,141
21,Chile,141
22,Bahamas,137
22,Barbados,137
23,Mexico,132
23,Uruguay,132
24,St. Kitts and Nevis,131
25,Antigua and Barbuda,130
25,Chinese Taipei,130
25,Vatican City,130
26,Croatia,129
27,Venezuela,128
28,Seychelles,126
29,Paraguay,124
30,Mauritius,123
31,Costa Rica,122
32,Panama,121
33,Macao (SAR China),118
34,Guatemala,114
34,Honduras,114
35,El Salvador,113
36,Nicaragua,109
37,Serbia,104
38,Macedonia (FYROM),103
39,Trinidad and Tobago,100
40,Montenegro,98
41,Russian Federation,95
42,South Africa,94
42,St. Lucia,94
42,Turkey,94
43,St. Vincent and the Grenadines,92
44,Bosnia and Herzegovina,91
45,Albania,88
45,Grenada,88
46,Belize,87
46,Dominica,87
47,Solomon Islands,84
48,Samoa,81
48,Tuvalu,81
49,Maldives,80
49,Peru,80
49,Tonga,80
50,Vanuatu,79
51,Fiji,78
51,Guyana,78
51,Kiribati,78
51,Nauru,78
52,Jamaica,77
52,Kuwait,77
52,Marshall Islands,77
52,Ukraine,77
53,Papua New Guinea,75
54,Ecuador,74
55,Bolivia,73
55,Micronesia (Federated States of),73
56,Palau,72
56,Suriname,72
56,United Arab Emirates,72
57,Qatar,71
58,Botswana,70
59,Bahrain,69
60,Gambia,68
60,Kenya,68
60,Lesotho,68
60,Namibia,68
60,Thailand,68
61,Malawi,67
62,Swaziland,66
62,Zambia,66
63,Tanzania,65
64,Saudi Arabia,64
65,Colombia,63
65,Oman,63
65,Sierra Leone,63
65,Tunisia,63
65,Uganda,63
66,Belarus,61
66,Cuba,61
66,Ghana,61
66,Kazakhstan,61
67,Georgia,60
67,Zimbabwe,60
68,Moldova,59
69,Philippines,58
70,Cape Verde,57
71,Azerbaijan,56
71,Kyrgyzstan,56
72,Armenia,55
72,Benin,55
72,Cote d'Ivoire,55
72,Mauritania,55
72,Senegal,55
73,Burkina Faso,53
73,Guinea,53
73,Indonesia,53
73,Mali,53
73,Niger,53
73,Togo,53
74,Dominican Republic,52
74,India,52
75,Mongolia,51
75,Morocco,51
76,Sao Tome & Principe,50
76,Tajikistan,50
77,Bhutan,49
77,Central African Republic,49
77,Madagascar,49
77,Mozambique,49
78,Guinea-Bissau,48
78,Nigeria,48
78,Timor Leste,48
79,Algeria,47
79,Cambodia,47
79,Egypt,47
79,Gabon,47
80,Chad,46
80,Haiti,46
80,Laos,46
80,Liberia,46
80,Turkmenistan,46
81,Vietnam,45
82,Cameroon,44
82,China,44
82,"Congo (Republic of, Brazzaville)",44
82,Jordan,44
82,Rwanda,44
83,Comoros,43
83,Yemen,43
84,Equatorial Guinea,42
85,Bangladesh,41
85,Burundi,41
85,Ethiopia,41
85,"Korea (Dem. People's Republic,",41
86,Angola,40
86,Djibouti,40
86,Iran,40
86,Myanmar,40
87,"Congo (Democratic Republic of,",39
87,Libya,39
87,South Sudan,39
87,Syria,39
88,Kosovo,38
88,Lebanon,38
88,Sri Lanka,38
88,Sudan,38
89,Nepal,37
90,Eritrea,36
90,Palestinian Territory,36
91,Pakistan,32
91,Somalia,32
92,Iraq,31
93,Afghanistan,28
